centre_profiles,window_length,IC
135,64,27.0966445916265
181,64,19.2810638368786
205,64,23.532234520296
296,76,18.6602974814819
315,64,23.8787120894768
340,62,18.5472072156832
493,60,17.4470044391906
622,64,18.2914478307069
1003,64,16.4134380912274
1051,64,23.6414715720179
1080,62,28.450078918775
1100,112,23.2231841936354
1138,62,22.6277874915772
1208,64,17.8433810750617
1256,96,19.3593385239463
1275,84,21.6002609259674
1309,64,20.1323346508384
1493,64,18.2276283759954
1514,86,22.4592077576648
1534,64,22.4644637684548
1555,64,17.7040857148665
