centre_profiles,window_length,IC
127,64,17.5685111621203
181,48,16.9907467633442
515,64,16.8767595813883
691,64,16.022811116437
798,82,25.4877043801698
1032,92,20.0028779798373
1059,108,33.5949094279852
1086,158,40.2596987463355
1106,128,34.1994200966223
1125,64,27.6379758540887
1197,52,17.4471426373331
1254,78,17.8957581936757
1293,86,27.9222418308158
1315,108,29.3524350541645
1353,124,30.4769384497004
1372,64,29.1102859337176
1392,64,23.2588071377197
1551,64,17.0201504493289
1658,88,25.9448324712819
1682,64,20.6316151931362
1703,82,19.6575305144115
