centre_profiles,window_length,IC
125,64,23.7337288196884
144,112,23.0468585558863
163,62,19.4281356390599
282,78,21.448978523212
346,64,23.1529639915908
367,64,24.9632656938386
388,98,24.2997002613784
515,64,19.4684359229154
722,64,24.9169432760994
746,118,32.4052548422427
766,152,33.1005638977
929,76,21.8395012430921
950,106,25.6541173762088
993,62,19.2232413888687
1021,64,19.2675353982599
1070,64,18.4976172358828
1141,64,22.040583008861
1191,64,23.5266004973518
1262,114,24.9150003078518
1315,64,19.2921848075075
1392,94,23.5814788429314
1545,76,19.9591127447191
1672,80,22.0293787809036
