centre_profiles,window_length,IC
146,32,12.3543900721005
157,34,11.4671732444883
192,36,13.3980748982593
199,34,13.3192994042688
354,32,17.4825074499391
377,82,24.4288452912577
392,32,16.9541467059633
606,46,11.1117935223104
777,200,12.3881870364742
806,164,11.860222819452
878,182,13.1007345418102
901,34,12.9985128333635
992,46,21.8703352006633
1243,178,12.1563687460297
1288,38,13.3105713836078
1328,188,13.5566599418517
1375,200,14.4155112641351
1408,54,14.211632981227
1452,100,12.6865456974676
1496,32,16.2157142597261
1540,32,11.5383741383124
1659,130,16.9066671969805
1694,82,17.0238472578146
1723,166,17.0463329640175
1781,134,14.0479698496735
1856,32,14.0580578014553
1881,50,12.2075376482442
1901,88,13.4029614260028
2079,34,12.171706122846
2100,88,14.81397277796
2125,40,12.1397818582131
2169,170,12.0456533514724
2203,140,14.0159500911198
2226,34,11.9646937622302
2253,76,11.8837590307818
2311,98,12.7099334202308
2322,96,13.1976871958882
2408,40,14.0465539491308
2419,42,13.6477438571671
2457,48,14.8556665149444
2590,40,11.5734423193577
2596,36,12.5547546757181
2720,32,13.0745454322834
2925,66,21.4462626086662
2972,74,26.6629683255566
3080,84,11.2792740094625
3093,52,10.8621520127414
3214,32,19.3833153893064
3242,52,22.9286655029269
3251,46,20.1863463613626
3294,52,27.3788026701626
3411,90,15.5483915579445
3418,96,15.7952520540477
3506,48,11.0568440190418
3557,64,13.139729470024
3565,70,13.9771901425942
3685,72,22.3161295429814
4053,50,13.5246731506152
4067,46,15.8616041927808
4181,112,13.0371178881568
4219,194,11.6800372643628
4245,200,13.3468600271512
4260,200,12.4303257110837
4483,72,23.4339099474147
4585,54,10.9651487546088
4659,32,12.7208282215163
4665,66,11.5456885671036
4927,48,12.9816638164173
4933,60,14.2605457476066
5237,32,11.6225380196918
5336,64,13.2537064605991
5576,32,13.0068075094811
5602,78,15.3683618892453
5887,44,19.9324948942094
5910,52,16.7818098353552
6162,54,12.6582411920418
6201,34,12.6404457822139
6298,48,22.6955400790064
6736,200,13.3668076824012
6748,62,13.9972340798291
6830,76,21.7283697665138
6855,44,14.2535162645422
7015,38,12.3147646968002
7028,72,13.6124034457271
7082,34,16.4382596430299
7127,32,14.6518518515612
7172,50,14.7137553023121
7183,72,15.2348900130884
7190,102,18.3154255267776
7215,142,17.2996925543155
7239,88,16.4252422613863
7339,50,18.4972401631274
7357,50,15.7563990465514
7368,32,14.9623592936204
