centre_profiles,window_length,IC
126,60,10.7763920469718
172,64,16.0084796154596
191,64,10.0831499072678
275,58,10.7800242351384
375,64,23.5099665487179
543,60,11.3834062989341
588,64,10.6545542117871
612,64,12.3635905678016
703,64,12.7524909131854
807,64,11.5917098210239
829,78,11.2943304535092
854,62,10.1912775244908
877,82,11.0166474463864
900,48,12.3423878607095
1001,64,24.5843420177971
1162,64,9.71632849818033
1204,64,11.5282785390898
1231,64,10.1269999129562
1260,64,10.7331608161235
1290,62,13.192529692157
1321,58,10.8377589347652
1363,76,16.6831091301483
1385,64,13.1842735396713
1409,64,14.8550799194474
1438,64,11.5313993759309
1465,54,12.3639683146464
1496,64,14.1776892273488
1538,64,10.9252459919435
1597,90,12.1964569496456
1670,64,18.0813782558518
1690,94,19.923343841841
1709,86,16.9132954391363
1750,84,11.4041018336224
1774,80,14.2478612251856
1797,64,10.1945256397075
1834,64,12.8474118358681
1855,64,13.5256390282793
1893,76,14.0919680138221
1914,64,11.4467683586547
1987,88,11.3136841378639
2022,64,9.95878169602653
2078,62,15.8740614268782
2105,80,12.564372857486
2124,64,10.7666625537821
2177,54,11.6939189309492
2200,64,12.3761503659922
2220,64,12.4208737636597
2248,64,11.2828613901049
2285,58,9.85243641182929
2323,86,12.3315574249528
2413,64,16.8317952032709
2447,64,16.060724125218
2601,62,10.9797510782419
2729,64,10.0673747910567
2946,64,26.6017876532679
2965,88,27.4900871920441
3081,64,11.1001350824695
3248,64,23.1464703554733
3301,64,28.8944252912294
3391,64,10.3516735202291
3410,64,15.036763552959
3431,64,13.6564684821272
3571,64,13.7851974424686
3682,64,21.593948663756
3701,100,23.4360023124867
3899,64,10.8747721978582
4065,64,10.3248621883446
4175,64,12.7290708406542
4195,64,10.4030940605221
4250,64,10.5011431099433
4276,64,11.3509507762056
4477,76,25.8025961815421
4497,64,21.3768940099516
4583,64,10.8447535931283
4654,64,11.5016541739117
4904,64,9.86495244601251
4931,64,14.3607973884645
4996,64,10.7573198538811
5022,58,11.1267838713963
5051,64,11.064081412658
5245,64,9.74321287901816
5339,64,13.4051427141915
5580,64,14.8332411611141
5619,64,18.9184382714706
5661,60,10.1826037034722
5894,64,19.6596482801687
6095,52,10.5997808376676
6146,86,10.0523060342862
6165,64,12.4309234809431
6207,64,16.7717340286912
6245,64,11.5677009458995
6290,62,15.437760719876
6309,58,13.2347563788838
6400,64,10.1884826987377
6481,64,11.3484132601061
6698,64,9.89584149670235
6719,64,10.1611854089983
6742,64,14.5146856208935
6831,64,22.838196750784
6920,64,11.5640675694067
7024,62,14.5615281170983
7072,76,19.3773298473612
7147,64,16.3017702885643
7171,116,20.8211734206644
7194,110,17.9671749096297
7215,80,16.2077124846785
7235,76,16.595960449359
7345,64,19.6746923448083
