centre_profiles,window_length,IC
71,76,24.0109009315022
297,198,29.8798245299011
409,38,21.670692967025
419,152,27.7545705377477
457,74,21.8756067210514
488,58,20.3769392387868
523,148,30.789655020924
534,90,25.9678095279661
552,86,26.797170187232
568,58,23.3293071066571
594,130,25.118391090735
606,118,22.7748297415795
644,38,19.8402271562577
675,44,25.2220411878706
692,88,30.1945850049713
717,42,19.5629486175989
791,88,30.569584824851
802,32,17.8868016519547
825,50,24.2325835802291
832,32,20.2294099402859
878,50,19.1251752657163
1272,32,17.5347290051488
1303,46,18.6533720338152
1485,38,18.8073960598952
1492,34,18.6782771415718
1513,158,25.1068804062501
1601,102,20.2628886317473
2251,66,27.4857455495778
2263,44,20.3606203063996
2301,44,24.8302512900186
2308,38,23.094269631748
2347,54,27.5636550091325
2463,56,22.9956904624223
2508,58,24.5361025908361
2603,74,25.9102995359804
2620,40,23.1922311371254
2695,200,22.3457940399831
2721,86,18.8245716296796
2754,154,27.5082054540217
2819,154,26.8982458553028
2920,38,22.9592579579274
3014,92,18.8798609796643
3331,72,19.9403541977035
3442,112,24.5829745482685
3502,198,27.4847976235291
3557,200,36.3627400372974
3565,58,24.0605275007095
3619,74,28.4701067611955
3653,172,35.1474064492383
3736,128,37.1133337639723
3755,80,29.5321050134433
3785,40,18.4367337125861
3805,70,24.4106786829102
3821,36,18.6934831729837
3880,200,29.5466722073464
3892,108,22.104447897665
3924,60,23.320455211082
3935,50,24.3631657449782
4287,36,21.6134057691163
4296,160,31.483304014817
4305,32,19.8427638882947
4334,170,37.9213633719224
4364,100,21.8817848218918
4549,74,18.111052339239
4598,142,25.3788185510455
4622,74,18.4330532838176
4673,98,20.3236921906011
4724,60,21.0161600991095
4735,58,19.7718948024051
4997,52,24.9341206521856
5035,34,17.9218235637116
5100,102,18.7453543722971
5149,104,20.829320372534
5157,90,20.123059682772
5202,196,32.4346095258182
5223,128,27.9371403852096
5252,152,32.0386566789393
5351,148,21.0006920783064
5417,92,27.6880474771594
5869,124,22.296510872184
5912,118,24.8877847605004
6094,50,18.2246066551242
6270,116,19.8586541366523
6397,32,18.3682465161856
6536,32,22.1819719297542
6850,118,20.4534000718582
6879,108,22.775407986071
6984,42,18.4567022722999
7056,34,21.1468536556729
7077,36,20.5524503354886
7089,46,25.0469413564454
7096,40,23.6067491472845
7342,68,20.5895078942036
7355,74,18.8283317638414
7392,46,20.4708250751389
7425,42,27.1216031417519
7454,180,34.533103614468
7507,34,20.2785461281466
7531,110,18.0375792222678
7611,46,24.0835371047507
7642,172,29.5417432523699
7929,50,18.9079320347677
7951,32,20.5682715196023
8033,78,19.2188754999621
8064,176,22.9949309567049
8123,152,34.5323229296811
8135,32,20.6139713221733
8157,46,22.6737649483215
8174,114,21.9584703984409
