centre_profiles,window_length,IC
81,32,14.6958164519785
157,80,33.5067288863388
298,90,31.2404865420127
306,42,23.8295518926798
464,46,27.9004560220894
683,40,20.2583422009144
707,48,25.775956544316
730,32,19.2638001581818
1085,42,17.4862424923447
1116,78,22.1228949629079
1150,32,16.0699831986897
1292,34,16.9887314600768
1305,54,15.4419911880539
1335,66,25.1826441951662
1358,48,27.4852063144929
1370,44,27.0115966384393
2000,32,15.2440798142013
2007,60,14.2729116954789
2032,46,16.4290448241991
2084,74,15.6741341378616
2105,60,18.8187829991073
2130,32,14.7632808374524
2435,104,26.124743988062
2447,42,16.9345381358775
2458,94,30.5352326004278
2472,128,33.6364245943701
2514,84,23.8800001490106
2790,42,21.9591708359867
2835,88,22.558510067503
2888,34,18.5616904816064
3205,32,17.0578356141806
3216,68,22.1360988298782
3224,52,20.7109131735681
3321,70,15.9211237760271
3372,32,21.5040270037584
3645,80,27.3188395774632
3701,46,19.0011667792777
3918,102,25.1003370095067
4032,32,14.1775303370698
4294,58,23.9062657337037
4318,50,27.7103163234018
4362,156,37.4272592068069
4410,50,27.6821740491177
4456,110,34.6790740304806
4464,94,32.2945136409366
4480,40,23.9725309658558
4779,36,21.878291794225
4813,64,23.741531278612
5005,50,25.4062824982801
5164,56,20.0499367914951
5193,68,26.7057714067138
5199,38,21.6556658243513
5655,68,28.647641971448
5663,76,27.2212659263178
5675,48,22.5193561118539
5945,122,27.2583529568326
5977,194,24.4610342856056
6001,140,35.3290827929625
6016,98,33.1051561816762
6028,64,26.083542305431
