centre_profiles,window_length,IC
70,64,23.1655803682934
270,64,20.6899733095613
317,142,27.2470576647855
362,64,21.6646014671863
385,92,22.6218743421686
408,86,26.1055639783912
437,94,26.7707105284652
457,192,33.707890289578
489,64,22.311948251885
540,82,25.8996007737083
560,64,24.775725381831
682,64,26.429764750909
706,64,24.7462516666732
783,76,27.4045246803576
807,86,32.6167433836
886,64,22.5481401216471
929,64,19.6641252961546
970,64,20.7148695871672
1292,64,20.012974488273
1467,64,25.0585242307866
1489,64,26.4453297901881
1607,54,18.5057562505432
1809,64,22.9352154973825
2264,64,27.8818575597924
2284,190,40.8304511182479
2325,150,42.625091229616
2361,78,32.974972499769
2385,100,23.3055420404616
2449,64,22.617453567094
2469,80,27.1365750417205
2491,120,32.2370250277488
2510,82,27.3589359764784
2621,82,33.5244976319999
2640,94,29.0830712727336
2737,64,21.0254094743727
2818,64,19.3076887164675
3323,78,20.9578720082943
3344,76,19.1180089536134
3390,100,24.5160577661348
3431,64,21.2990007752464
3454,110,25.9458929773437
3513,124,23.8203920816106
3538,64,23.2990159513005
3560,222,37.61305908246
3595,184,37.9386892633171
3623,220,39.9119071622518
3645,280,43.5361393823553
3668,340,45.4624718274976
3712,136,35.3368014531151
3733,92,35.2002997332707
3757,142,36.2880902939835
3784,112,31.3200035637762
3808,64,23.7226343239611
3905,64,18.7732382003158
3926,64,24.310383807294
4303,64,28.3418451818337
4336,94,33.1062100331596
4362,192,32.2653996311121
4495,64,21.0341136010357
4612,64,18.3670181162493
4641,64,20.9085617982852
4662,64,18.7838421471616
4733,78,24.8795073122449
4987,82,28.6205783440967
5017,108,24.7225536985977
5047,64,22.7912214169133
5162,142,26.114463575165
5181,64,18.8906459360972
5206,64,22.7449503125224
5238,158,31.8154410768471
5262,122,27.6273880115635
5342,60,18.7190225401291
5422,56,26.3865454863926
5863,64,20.4637932503518
5884,64,19.4271435210084
5907,64,21.79818605766
5939,64,19.7684623424432
5967,64,18.6612256845652
6105,64,18.3601823186803
6276,64,18.678192168026
6565,64,19.9214546269858
6990,60,19.065993643328
7079,88,32.5499017017175
7340,88,22.3391362641508
7397,152,34.2670716044062
7418,64,31.494556073028
7442,100,33.2583621399562
7462,128,28.1292138590997
7494,64,19.9318456542105
7517,64,18.3194455202729
7573,64,18.5833136746197
7597,64,26.4100421352782
7650,64,19.3585351438287
7713,64,19.4677976181085
7908,88,19.764998386034
7931,142,28.6593406500274
7952,112,29.8311737674086
7971,178,30.2877419859857
8023,64,19.4793062724989
8054,64,21.7974305735801
8103,94,25.6645569515529
8127,108,31.9323629169153
8148,134,32.1295612720072
8226,64,20.0990996623459
